prevalence,calibration,fp_cost_regime,capacity,policy,mean_cost,std_cost,n_seeds,ci95_low,ci95_high,interval_method,best_policy,best_mean_cost,abs_diff_from_best,pct_diff_from_best,near_eq_1pct,near_eq_0.005,near_eq_0.01,near_eq_0.02
baseline,temperature_T1.5,baseline,500,A_fixed_threshold_fifo,633588.936,9606.75594957492,10,627634.606973698,639543.265026302,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,570079.043,63509.89300000004,0.11140541610823615,False,False,False,False
baseline,temperature_T1.5,baseline,500,B_topk_probability,629152.037,9662.465766044355,10,623163.1786717157,635140.8953282844,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,570079.043,59072.994000000064,0.10362246205216155,False,False,False,False
baseline,temperature_T1.5,baseline,500,C_expected_exposure,572210.6969999999,11207.233014078249,10,565264.3820118266,579157.0119881732,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,570079.043,2131.6539999999804,0.0037392253340559666,True,True,True,True
baseline,temperature_T1.5,baseline,500,D1_cost_aware_topk,570079.043,9725.575931201014,10,564051.0685860963,576107.0174139036,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,570079.043,0.0,0.0,True,True,True,True
baseline,temperature_T1.5,baseline,500,D2_cost_aware_abstention,570079.043,9725.575931201014,10,564051.0685860963,576107.0174139036,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,570079.043,0.0,0.0,True,True,True,True
baseline,temperature_T1.5,baseline,1000,A_fixed_threshold_fifo,632706.7490000001,12491.787029344478,10,624964.2591845385,640449.2388154616,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,553518.466,79188.28300000005,0.14306348905078814,False,False,False,False
baseline,temperature_T1.5,baseline,1000,B_topk_probability,631487.487,12686.251676448815,10,623624.4667475292,639350.5072524707,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,553518.466,77969.02099999995,0.14086074049786074,False,False,False,False
baseline,temperature_T1.5,baseline,1000,C_expected_exposure,558365.899,6140.453047065012,10,554560.0067711668,562171.7912288331,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,553518.466,4847.432999999961,0.008757491028311892,True,False,True,True
baseline,temperature_T1.5,baseline,1000,D1_cost_aware_topk,553518.466,7329.51192693423,10,548975.5874420096,558061.3445579904,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,553518.466,0.0,0.0,True,True,True,True
baseline,temperature_T1.5,baseline,1000,D2_cost_aware_abstention,553518.466,7329.51192693423,10,548975.5874420096,558061.3445579904,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,553518.466,0.0,0.0,True,True,True,True
baseline,temperature_T1.5,baseline,2000,A_fixed_threshold_fifo,613718.386,18874.008887733067,10,602020.1540939545,625416.6179060456,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,535302.223,78416.16300000006,0.14648951495200507,False,False,False,False
baseline,temperature_T1.5,baseline,2000,B_topk_probability,612978.8740000001,17314.024556881403,10,602247.5303994889,623710.2176005113,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,535302.223,77676.65100000007,0.14510802993620311,False,False,False,False
baseline,temperature_T1.5,baseline,2000,C_expected_exposure,546492.114,11536.263096588762,10,539341.8640538551,553642.3639461448,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,535302.223,11189.890999999945,0.0209038754542963,False,False,False,False
baseline,temperature_T1.5,baseline,2000,D1_cost_aware_topk,535302.223,12539.475790911994,10,527530.1753838906,543074.2706161094,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,535302.223,0.0,0.0,True,True,True,True
baseline,temperature_T1.5,baseline,2000,D2_cost_aware_abstention,535302.223,12539.475790911994,10,527530.1753838906,543074.2706161094,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,535302.223,0.0,0.0,True,True,True,True
baseline,temperature_T1.5,baseline,5000,A_fixed_threshold_fifo,628126.542,17135.872551082743,10,617505.6181566669,638747.4658433332,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,574259.282,53867.26000000001,0.09380302885552663,False,False,False,False
baseline,temperature_T1.5,baseline,5000,B_topk_probability,689905.0730000001,15758.194113651221,10,680138.0430988016,699672.1029011986,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,574259.282,115645.79100000008,0.20138253681722829,False,False,False,False
baseline,temperature_T1.5,baseline,5000,C_expected_exposure,625253.564,7814.435143866339,10,620410.1269182725,630097.0010817276,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,574259.282,50994.28200000001,0.08880010057895765,False,False,False,False
baseline,temperature_T1.5,baseline,5000,D1_cost_aware_topk,597018.441,7397.411256292338,10,592433.4780016651,601603.4039983349,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,574259.282,22759.158999999985,0.039632200494410096,False,False,False,False
baseline,temperature_T1.5,baseline,5000,D2_cost_aware_abstention,574259.282,9196.740996782877,10,568559.0828743057,579959.4811256944,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,574259.282,0.0,0.0,True,True,True,True
baseline,temperature_T1.5,baseline,10000,A_fixed_threshold_fifo,622355.882,11080.48568506592,10,615488.1258202429,629223.638179757,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,569565.784,52790.098,0.0926848126817955,False,False,False,False
baseline,temperature_T1.5,baseline,10000,B_topk_probability,878705.0369999999,8053.694135528407,10,873713.3056588642,883696.7683411356,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,569565.784,309139.2529999999,0.5427630340238274,False,False,False,False
baseline,temperature_T1.5,baseline,10000,C_expected_exposure,835304.762,4128.6735471625825,10,832745.7836236332,837863.7403763668,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,569565.784,265738.978,0.46656415372030147,False,False,False,False
baseline,temperature_T1.5,baseline,10000,D1_cost_aware_topk,767526.6,4454.114670449216,10,764765.9111256348,770287.2888743652,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,569565.784,197960.816,0.3475644456900873,False,False,False,False
baseline,temperature_T1.5,baseline,10000,D2_cost_aware_abstention,569565.784,7773.268445924449,10,564747.8623020044,574383.7056979956,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,569565.784,0.0,0.0,True,True,True,True
baseline,temperature_T1.5,high,500,A_fixed_threshold_fifo,659481.5549999999,13276.355820131508,10,651252.784409984,667710.3255900159,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,598448.977,61032.57799999998,0.10198459742709191,False,False,False,False
baseline,temperature_T1.5,high,500,B_topk_probability,651977.497,12142.306123444834,10,644451.6176941693,659503.3763058307,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,598448.977,53528.52000000002,0.08944541983902501,False,False,False,False
baseline,temperature_T1.5,high,500,C_expected_exposure,607788.483,19338.14271431981,10,595802.5779678503,619774.3880321498,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,598448.977,9339.506000000052,0.015606185922179381,False,False,False,True
baseline,temperature_T1.5,high,500,D1_cost_aware_topk,598448.977,18202.72673531451,10,587166.81008259,609731.1439174099,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,598448.977,0.0,0.0,True,True,True,True
baseline,temperature_T1.5,high,500,D2_cost_aware_abstention,598448.977,18202.72673531451,10,587166.81008259,609731.1439174099,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,598448.977,0.0,0.0,True,True,True,True
baseline,temperature_T1.5,high,1000,A_fixed_threshold_fifo,656029.571,20066.727346580163,10,643592.084534247,668467.0574657529,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,596370.599,59658.97199999995,0.1000367424216363,False,False,False,False
