condition,policy_label,delta_name,ref_policy,paired_n,paired_df,paired_mean,paired_sd,paired_se,paired_ci95_low,paired_ci95_high,paired_zero_status,paired_t_crit,ref_mean_cost,practical_band_abs,ci_within_1pct_practical_band,mean_cost
FP_COST_NOISE_LOW,D1_oracle,vs_B,B_topk_probability,20,19,-77954.3205,9486.918746113663,2121.3395213327217,-82394.3351457163,-73514.30585428371,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,577820.8940000001
FP_COST_NOISE_LOW,D1_oracle,vs_C,C_expected_exposure,20,19,-5449.810499999992,2586.76840745456,578.419000111727,-6660.455380760613,-4239.165619239372,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,577820.8940000001
FP_COST_NOISE_LOW,D2_oracle,vs_d1_oracle,D1_oracle,20,19,-1926.8000000000116,1928.5502234798505,431.23693977233563,-2829.3892880929175,-1024.2107119071056,excludes_0_negative,2.093024054408263,577820.8940000001,5778.208940000001,True,575894.0939999999
FP_COST_NOISE_LOW,D2_oracle,vs_B,B_topk_probability,20,19,-79881.1205,9320.67747429534,2084.1668428875428,-84243.33183556376,-75518.90916443625,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,575894.0939999999
FP_COST_NOISE_LOW,D2_oracle,vs_C,C_expected_exposure,20,19,-7376.610500000004,3006.5568287319174,672.286544726076,-8783.722409566697,-5969.498590433311,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,575894.0939999999
FP_COST_NOISE_LOW,D1_estimated,vs_d1_oracle,D1_oracle,20,19,1714.198499999987,1987.1820274217932,444.34740969809803,784.1686829878644,2644.2283170121095,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,True,579535.0925
FP_COST_NOISE_LOW,D1_estimated,vs_B,B_topk_probability,20,19,-76240.122,9783.732257525387,2187.7090401484243,-80819.04964507707,-71661.19435492293,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,579535.0925
FP_COST_NOISE_LOW,D1_estimated,vs_C,C_expected_exposure,20,19,-3735.6120000000055,3250.2389907652296,726.7755326471364,-5256.77067198584,-2214.4533280141713,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,True,579535.0925
FP_COST_NOISE_LOW,D2_estimated,vs_d1_oracle,D1_oracle,20,19,-1253.2280000000028,2404.6003366958785,537.6849811570866,-2378.615599255839,-127.84040074416703,excludes_0_negative,2.093024054408263,577820.8940000001,5778.208940000001,True,576567.666
FP_COST_NOISE_LOW,D2_estimated,vs_B,B_topk_probability,20,19,-79207.54849999999,9210.952819681153,2059.631664235042,-83518.40711646486,-74896.68988353512,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,576567.666
